1261 190 150 2926 
1306 170 149 2909 
1188 189 150 2918 
1632 189 150 2990 
1392 186 150 2961 
156 1444 149 2951 
1980 190 149 3022 
1806 175 150 3005 
156 1155 149 2814 
1569 182 150 2967 
282 189 150 3166 
1073 178 151 2777 
152 1535 150 2965 
153 1011 149 2629 
2064 189 149 2996 
1231 190 150 2910 
1211 170 150 2852 
152 1450 150 2935 
1871 170 149 2990 
1651 311 149 3014 
153 1579 149 2954 
982 189 149 2649 
156 1367 150 2924 
1450 182 149 2959 
879 173 150 2736 
151 1683 150 2980 
153 1043 150 2787 
155 1794 149 3015 
144 1387 150 2935 
153 1565 150 2977 
1455 178 150 2988 
151 1393 150 2864 
1015 171 150 2743 
1892 171 150 3011 
1311 474 151 2939 
141 937 149 2742 
152 1618 150 2971 
1365 184 149 2962 
154 1735 150 2981 
1474 171 149 2945 
1646 176 150 2991 
1835 189 149 2999 
2126 173 150 3028 
2103 171 150 3012 
1274 173 150 2942 
4095 183 147 3060 
1428 189 150 2935 
2099 171 149 3025 
152 1661 150 2748 
148 910 149 2646 
1514 186 150 2922 
1639 173 150 3006 
1539 189 149 1935 
151 1663 150 2945 
1478 190 150 2976 
155 1659 150 2991 
157 190 151 1998 
148 1431 150 2928 
152 1625 150 2962 
1713 179 149 2998 
430 1253 150 975 
1940 190 150 3026 
155 1065 149 2717 
2167 175 149 3018 
154 189 150 3066 
2025 183 150 3031 
145 1472 149 2938 
1002 176 149 2725 
2049 190 150 3016 
157 191 151 3167 
1530 170 150 3002 
152 1685 151 2980 
157 1626 151 2980 
1470 188 150 2966 
1955 175 149 3006 
1067 177 150 2848 
1118 188 150 2836 
1021 170 150 2854 
155 1641 149 2945 
1577 170 149 2987 
1851 170 149 3021 
629 170 149 3167 
1228 187 150 2837 
152 1198 150 2914 
1226 171 151 2903 
152 1382 150 2909 
154 1420 150 2968 
1468 172 150 2971 
153 1739 150 2948 
2073 187 149 3017 
151 184 150 3083 
1482 186 150 2940 
1172 189 149 1646 
1833 183 150 3019 
1594 190 150 3005 
567 178 151 3167 
152 1332 150 2980 
148 1711 151 2977 
2020 188 150 3008 
153 1267 150 2841 
1433 188 149 2978 
1971 181 140 3166 
153 1657 150 2972 
1315 174 150 2942 
1351 174 150 2978 
156 1099 150 2790 
1606 180 150 3004 
152 1215 149 2898 
1343 176 150 3001 
1709 179 150 2977 
142 1480 150 2961 
1338 179 150 3073 
1833 181 149 2994 
151 1589 151 2973 
156 1166 150 2987 
153 1676 151 2975 
154 1608 151 2959 
145 1357 149 2916 
2034 178 150 3023 
1534 189 150 2963 
157 1410 150 2970 
150 176 150 3167 
1680 185 150 2999 
2061 177 150 3039 
1387 180 150 2927 
155 1462 149 2963 
1965 184 150 3003 
2015 180 150 3014 
152 337 149 3168 
152 1387 150 2904 
913 170 150 2653 
1414 190 150 2934 
1179 190 149 2937 
1158 181 150 2903 
2053 177 150 3020 
288 183 151 3168 
149 1134 149 2839 
147 1691 151 2977 
153 1414 150 2923 
155 1269 150 2880 
1420 187 150 2982 
1323 190 150 2944 
1680 188 150 2993 
156 1362 150 2964 
2004 179 149 3017 
1148 178 150 2241 
154 1758 151 363 
2148 177 150 3035 
1271 189 150 2951 
152 1819 150 2984 
1441 182 150 397 
1795 172 150 3012 
514 176 152 3167 
1781 184 150 2999 
151 1246 150 2864 
156 1250 150 2923 
1070 185 150 2787 
152 2021 150 2997 
1325 173 150 2891 
154 1614 149 2985 
156 1165 150 2833 
148 176 150 4095 
149 1161 149 2892 
1928 188 149 3006 
2106 174 150 3038 
1718 180 149 3031 
965 186 150 2902 
144 2829 151 3086 
2036 171 150 3036 
1061 175 150 2842 
1623 185 150 3016 
142 716 149 3167 
1687 172 150 3016 
2057 186 150 3035 
153 1481 150 2936 
2048 174 150 3021 
153 852 151 3167 
1885 171 150 3016 
1628 184 150 2991 
142 1280 150 2866 
153 1447 150 2925 
151 1413 149 2932 
141 1643 150 2948 
1446 172 151 2944 
1798 182 150 3011 
1600 171 150 2968 
1344 174 150 2908 
1651 178 150 2977 
1035 177 150 2789 
157 1688 150 2949 
1413 588 151 2938 
156 1500 150 2948 
1334 186 150 2918 
1024 190 150 2792 
849 186 150 2661 
157 1052 150 2804 
152 1257 150 2851 
2184 184 150 3029 
153 4095 148 3062 
2058 185 150 3024 
145 1619 149 2971 
735 184 149 3167 
1586 170 150 2976 
152 1802 150 2990 
753 188 150 3166 
1387 182 150 2981 
153 1519 149 2932 
503 1283 149 2857 
1075 175 149 2788 
1449 190 150 2981 
1969 180 150 3024 
1033 311 150 2780 
1830 190 151 2996 
1492 185 149 668 
157 1504 150 2977 
1145 183 150 2857 
1448 190 150 2951 
153 1427 150 2849 
150 1449 143 3167 
869 173 151 2590 
152 1713 150 2988 
153 1345 151 2973 
1024 188 150 2863 
1671 190 150 2983 
148 1732 150 2998 
2140 190 149 3026 
144 171 150 3168 
151 181 150 3078 
154 1687 149 2965 
155 1787 150 2997 
153 1822 150 3017 
1489 182 150 2942 
1330 178 149 2952 
155 189 150 3167 
227 175 150 3167 
1764 184 150 3022 
2076 182 149 3023 
154 386 150 3167 
142 1798 149 3010 
1139 182 150 2917 
1670 187 150 2968 
1230 184 151 2960 
1496 188 150 2968 
1831 187 149 2738 
147 1489 150 2985 
640 172 150 3168 
1943 178 149 3011 
1640 189 149 2990 
155 1776 149 3001 
156 1764 150 2993 
149 1334 150 2956 
3158 180 150 3167 
1206 4095 150 3081 
151 1554 150 2960 
1607 182 150 2975 
1939 174 150 2995 
1550 183 151 2980 
155 1797 150 2997 
2009 178 150 3005 
1362 173 150 2980 
479 189 151 3168 
2011 189 150 3009 
144 1166 150 2757 
154 1386 149 2926 
1685 180 150 3011 
4095 4095 147 3064 
1855 174 150 3016 
1150 174 150 2905 
1379 176 150 2949 
1129 189 150 2919 
144 172 151 3022 
1614 176 150 2988 
1602 170 150 2989 
151 594 151 3167 
1453 190 151 2992 
154 1377 150 2962 
148 1994 150 3167 
153 1081 150 2870 
1690 173 149 2992 
1755 183 151 3010 
1814 189 150 2990 
155 1733 150 2972 
